,pgnfile,result
273,10274.pgn,0.0
274,10275.pgn,1.0
275,10276.pgn,1.0
276,10277.pgn,0.0
277,10278.pgn,1.0
278,10279.pgn,1.0
279,10280.pgn,-1.0
280,10281.pgn,0.0
281,10282.pgn,1.0
282,10283.pgn,1.0
283,10284.pgn,-1.0
284,10285.pgn,-1.0
285,10286.pgn,-1.0
286,10287.pgn,0.0
287,10288.pgn,0.0
288,10289.pgn,1.0
289,10290.pgn,1.0
290,10291.pgn,1.0
291,10292.pgn,0.0
292,10293.pgn,-1.0
293,10294.pgn,1.0
294,10295.pgn,1.0
295,10296.pgn,1.0
296,10297.pgn,-1.0
297,10298.pgn,1.0
298,10299.pgn,-1.0
299,10300.pgn,1.0
300,10301.pgn,-1.0
301,10302.pgn,1.0
302,10303.pgn,0.0
303,10304.pgn,0.0
304,10305.pgn,1.0
305,10306.pgn,-1.0
306,10307.pgn,0.0
307,10308.pgn,-1.0
308,10309.pgn,0.0
309,10310.pgn,-1.0
310,10311.pgn,1.0
311,10312.pgn,0.0
312,10313.pgn,1.0
313,10314.pgn,0.0
314,10315.pgn,0.0
315,10316.pgn,1.0
316,10317.pgn,-1.0
317,10318.pgn,1.0
318,10319.pgn,0.0
319,10320.pgn,1.0
320,10321.pgn,-1.0
321,10322.pgn,-1.0
322,10323.pgn,-1.0
323,10324.pgn,-1.0
324,10325.pgn,0.0
325,10326.pgn,1.0
326,10327.pgn,0.0
327,10328.pgn,0.0
328,10329.pgn,0.0
329,10330.pgn,1.0
330,10331.pgn,-1.0
331,10332.pgn,1.0
332,10333.pgn,1.0
333,10334.pgn,1.0
334,10335.pgn,-1.0
335,10336.pgn,1.0
336,10337.pgn,-1.0
337,10338.pgn,1.0
338,10339.pgn,-1.0
339,10340.pgn,0.0
340,10341.pgn,1.0
341,10342.pgn,0.0
342,10343.pgn,1.0
343,10344.pgn,-1.0
344,10345.pgn,1.0
345,10346.pgn,-1.0
346,10347.pgn,0.0
347,10348.pgn,-1.0
348,10349.pgn,0.0
349,10350.pgn,1.0
350,10351.pgn,-1.0
351,10352.pgn,-1.0
352,10353.pgn,-1.0
353,10354.pgn,1.0
354,10355.pgn,-1.0
355,10356.pgn,1.0
356,10357.pgn,0.0
357,10358.pgn,1.0
358,10359.pgn,-1.0
359,10360.pgn,-1.0
360,10361.pgn,1.0
361,10362.pgn,1.0
362,10363.pgn,0.0
363,10364.pgn,1.0
364,10365.pgn,1.0
365,10366.pgn,0.0
366,10367.pgn,1.0
367,10368.pgn,0.0
368,10369.pgn,0.0
369,10370.pgn,-1.0
370,10371.pgn,-1.0
371,10372.pgn,1.0
372,10373.pgn,0.0
373,10374.pgn,1.0
374,10375.pgn,1.0
375,10376.pgn,1.0
376,10377.pgn,1.0
377,10378.pgn,-1.0
378,10379.pgn,1.0
379,10380.pgn,1.0
380,10381.pgn,0.0
381,10382.pgn,-1.0
382,10383.pgn,0.0
383,10384.pgn,0.0
384,10385.pgn,-1.0
385,10386.pgn,0.0
386,10387.pgn,1.0
387,10388.pgn,-1.0
388,10389.pgn,-1.0
389,10390.pgn,0.0
390,10391.pgn,-1.0
391,10392.pgn,1.0
392,10393.pgn,-1.0
393,10394.pgn,1.0
394,10395.pgn,-1.0
395,10396.pgn,-1.0
396,10397.pgn,1.0
397,10398.pgn,1.0
398,10399.pgn,-1.0
399,10400.pgn,0.0
400,10401.pgn,-1.0
401,10402.pgn,0.0
402,10403.pgn,1.0
403,10404.pgn,-1.0
404,10405.pgn,-1.0
405,10406.pgn,-1.0
406,10407.pgn,0.0
407,10408.pgn,1.0
408,10409.pgn,1.0
409,10410.pgn,1.0
410,10411.pgn,0.0
411,10412.pgn,1.0
412,10413.pgn,-1.0
413,10414.pgn,0.0
414,10415.pgn,-1.0
415,10416.pgn,1.0
416,10417.pgn,-1.0
417,10418.pgn,0.0
418,10419.pgn,1.0
419,10420.pgn,-1.0
420,10421.pgn,1.0
421,10422.pgn,1.0
422,10423.pgn,1.0
423,10424.pgn,1.0
424,10425.pgn,1.0
425,10426.pgn,-1.0
426,10427.pgn,1.0
427,10428.pgn,-1.0
428,10429.pgn,-1.0
429,10430.pgn,-1.0
430,10431.pgn,1.0
431,10432.pgn,1.0
432,10433.pgn,1.0
433,10434.pgn,-1.0
434,10435.pgn,1.0
435,10436.pgn,1.0
436,10437.pgn,1.0
437,10438.pgn,-1.0
438,10439.pgn,-1.0
439,10440.pgn,1.0
440,10441.pgn,1.0
441,10442.pgn,1.0
442,10443.pgn,1.0
443,10444.pgn,1.0
444,10445.pgn,-1.0
445,10446.pgn,0.0
446,10447.pgn,1.0
447,10448.pgn,0.0
448,10449.pgn,-1.0
449,10450.pgn,-1.0
450,10451.pgn,1.0
451,10452.pgn,-1.0
452,10453.pgn,1.0
453,10454.pgn,-1.0
454,10455.pgn,1.0
455,10456.pgn,-1.0
456,10457.pgn,0.0
457,10458.pgn,0.0
458,10459.pgn,-1.0
459,10460.pgn,1.0
460,10461.pgn,1.0
461,10462.pgn,1.0
462,10463.pgn,1.0
463,10464.pgn,1.0
464,10465.pgn,-1.0
465,10466.pgn,1.0
466,10467.pgn,-1.0
467,10468.pgn,1.0
468,10469.pgn,1.0
469,10470.pgn,1.0
470,10471.pgn,1.0
471,10472.pgn,0.0
472,10473.pgn,0.0
473,10474.pgn,1.0
474,10475.pgn,0.0
475,10476.pgn,-1.0
476,10477.pgn,-1.0
477,10478.pgn,1.0
478,10479.pgn,1.0
479,10480.pgn,0.0
480,10481.pgn,0.0
481,10482.pgn,1.0
482,10483.pgn,0.0
483,10484.pgn,0.0
484,10485.pgn,-1.0
485,10486.pgn,1.0
486,10487.pgn,-1.0
487,10488.pgn,-1.0
488,10489.pgn,1.0
489,10490.pgn,0.0
490,10491.pgn,1.0
491,10492.pgn,-1.0
492,10493.pgn,-1.0
493,10494.pgn,1.0
494,10495.pgn,-1.0
495,10496.pgn,0.0
496,10497.pgn,-1.0
497,10498.pgn,1.0
498,10499.pgn,1.0
499,10500.pgn,1.0
500,10501.pgn,0.0
501,10502.pgn,-1.0
502,10503.pgn,0.0
503,10504.pgn,0.0
504,10505.pgn,1.0
505,10506.pgn,1.0
506,10507.pgn,1.0
507,10508.pgn,-1.0
508,10509.pgn,0.0
509,10510.pgn,0.0
510,10511.pgn,1.0
511,10512.pgn,0.0
512,10513.pgn,0.0
513,10514.pgn,0.0
514,10515.pgn,0.0
515,10516.pgn,1.0
516,10517.pgn,0.0
517,10518.pgn,1.0
518,10519.pgn,1.0
519,10520.pgn,0.0
520,10521.pgn,-1.0
521,10522.pgn,0.0
522,10523.pgn,1.0
523,10524.pgn,0.0
524,10525.pgn,0.0
525,10526.pgn,1.0
526,10527.pgn,0.0
527,10528.pgn,1.0
528,10529.pgn,-1.0
529,10530.pgn,-1.0
530,10531.pgn,0.0
531,10532.pgn,0.0
532,10533.pgn,1.0
533,10534.pgn,1.0
534,10535.pgn,0.0
535,10536.pgn,0.0
536,10537.pgn,0.0
537,10538.pgn,0.0
538,10539.pgn,-1.0
539,10540.pgn,0.0
540,10541.pgn,1.0
541,10542.pgn,0.0
542,10543.pgn,-1.0
543,10544.pgn,-1.0
544,10545.pgn,1.0
545,10546.pgn,-1.0
546,10547.pgn,1.0
547,10548.pgn,1.0
548,10549.pgn,1.0
549,10550.pgn,-1.0
550,10551.pgn,1.0
551,10552.pgn,0.0
552,10553.pgn,0.0
553,10554.pgn,0.0
554,10555.pgn,0.0
555,10556.pgn,0.0
556,10557.pgn,-1.0
557,10558.pgn,0.0
558,10559.pgn,1.0
559,10560.pgn,0.0
560,10561.pgn,0.0
561,10562.pgn,1.0
562,10563.pgn,-1.0
563,10564.pgn,-1.0
564,10565.pgn,1.0
565,10566.pgn,0.0
566,10567.pgn,0.0
567,10568.pgn,0.0
568,10569.pgn,1.0
569,10570.pgn,1.0
570,10571.pgn,-1.0
571,10572.pgn,0.0
572,10573.pgn,-1.0
573,10574.pgn,0.0
574,10575.pgn,1.0
575,10576.pgn,0.0
576,10577.pgn,0.0
577,10578.pgn,0.0
578,10579.pgn,1.0
579,10580.pgn,-1.0
580,10581.pgn,-1.0
581,10582.pgn,-1.0
582,10583.pgn,1.0
583,10584.pgn,-1.0
584,10585.pgn,0.0
585,10586.pgn,-1.0
586,10587.pgn,-1.0
587,10588.pgn,1.0
588,10589.pgn,-1.0
589,10590.pgn,1.0
590,10591.pgn,-1.0
591,10592.pgn,1.0
592,10593.pgn,1.0
593,10594.pgn,0.0
594,10595.pgn,-1.0
595,10596.pgn,0.0
596,10597.pgn,0.0
597,10598.pgn,0.0
598,10599.pgn,0.0
599,10600.pgn,0.0
600,10601.pgn,0.0
601,10602.pgn,1.0
602,10603.pgn,-1.0
603,10604.pgn,1.0
604,10605.pgn,1.0
605,10606.pgn,0.0
606,10607.pgn,-1.0
607,10608.pgn,0.0
608,10609.pgn,1.0
609,10610.pgn,1.0
610,10611.pgn,0.0
611,10612.pgn,0.0
612,10613.pgn,0.0
613,10614.pgn,0.0
614,10615.pgn,1.0
615,10616.pgn,1.0
616,10617.pgn,0.0
617,10618.pgn,0.0
618,10619.pgn,0.0
619,10620.pgn,0.0
620,10621.pgn,0.0
621,10622.pgn,0.0
622,10623.pgn,1.0
623,10624.pgn,0.0
624,10625.pgn,0.0
625,10626.pgn,1.0
626,10627.pgn,1.0
627,10628.pgn,1.0
628,10629.pgn,0.0
629,10630.pgn,-1.0
630,10631.pgn,1.0
631,10632.pgn,-1.0
632,10633.pgn,0.0
633,10634.pgn,1.0
634,10635.pgn,0.0
635,10636.pgn,-1.0
636,10637.pgn,-1.0
637,10638.pgn,-1.0
638,10639.pgn,1.0
639,10640.pgn,0.0
640,10641.pgn,0.0
641,10642.pgn,1.0
642,10643.pgn,1.0
643,10644.pgn,1.0
644,10645.pgn,0.0
645,10646.pgn,1.0
646,10647.pgn,0.0
647,10648.pgn,1.0
648,10649.pgn,-1.0
649,10650.pgn,1.0
650,10651.pgn,1.0
651,10652.pgn,0.0
652,10653.pgn,1.0
653,10654.pgn,0.0
654,10655.pgn,1.0
655,10656.pgn,0.0
656,10657.pgn,1.0
657,10658.pgn,1.0
658,10659.pgn,-1.0
659,10660.pgn,0.0
660,10661.pgn,0.0
661,10662.pgn,1.0
662,10663.pgn,0.0
663,10664.pgn,-1.0
664,10665.pgn,0.0
665,10666.pgn,-1.0
666,10667.pgn,1.0
667,10668.pgn,1.0
668,10669.pgn,0.0
669,10670.pgn,0.0
670,10671.pgn,0.0
671,10672.pgn,-1.0
672,10673.pgn,1.0
673,10674.pgn,1.0
674,10675.pgn,0.0
675,10676.pgn,0.0
676,10677.pgn,0.0
677,10678.pgn,0.0
678,10679.pgn,1.0
679,10680.pgn,-1.0
680,10681.pgn,0.0
681,10682.pgn,0.0
682,10683.pgn,-1.0
683,10684.pgn,-1.0
684,10685.pgn,-1.0
685,10686.pgn,0.0
686,10687.pgn,-1.0
687,10688.pgn,1.0
688,10689.pgn,-1.0
689,10690.pgn,-1.0
690,10691.pgn,0.0
691,10692.pgn,0.0
692,10693.pgn,1.0
693,10694.pgn,0.0
694,10695.pgn,0.0
695,10696.pgn,0.0
696,10697.pgn,1.0
697,10698.pgn,0.0
698,10699.pgn,1.0
699,10700.pgn,0.0
700,10701.pgn,1.0
701,10702.pgn,0.0
702,10703.pgn,0.0
703,10704.pgn,-1.0
704,10705.pgn,0.0
705,10706.pgn,0.0
706,10707.pgn,-1.0
707,10708.pgn,0.0
708,10709.pgn,1.0
709,10710.pgn,0.0
710,10711.pgn,-1.0
711,10712.pgn,1.0
712,10713.pgn,0.0
713,10714.pgn,0.0
714,10715.pgn,0.0
715,10716.pgn,0.0
716,10717.pgn,1.0
717,10718.pgn,0.0
718,10719.pgn,0.0
719,10720.pgn,0.0
720,10721.pgn,0.0
721,10722.pgn,0.0
722,10723.pgn,1.0
723,10724.pgn,0.0
724,10725.pgn,0.0
725,10726.pgn,0.0
726,10727.pgn,0.0
727,10728.pgn,-1.0
728,10729.pgn,0.0
729,10730.pgn,0.0
730,10731.pgn,0.0
731,10732.pgn,0.0
732,10733.pgn,-1.0
733,10734.pgn,1.0
734,10735.pgn,0.0
735,10736.pgn,1.0
736,10737.pgn,1.0
737,10738.pgn,0.0
738,10739.pgn,-1.0
739,10740.pgn,0.0
740,10741.pgn,1.0
741,10742.pgn,0.0
742,10743.pgn,-1.0
743,10744.pgn,-1.0
744,10745.pgn,1.0
745,10746.pgn,-1.0
746,10747.pgn,0.0
747,10748.pgn,0.0
748,10749.pgn,-1.0
749,10750.pgn,1.0
750,10751.pgn,1.0
751,10752.pgn,-1.0
752,10753.pgn,0.0
753,10754.pgn,0.0
754,10755.pgn,0.0
755,10756.pgn,0.0
756,10757.pgn,0.0
757,10758.pgn,0.0
758,10759.pgn,0.0
759,10760.pgn,0.0
760,10761.pgn,-1.0
761,10762.pgn,0.0
762,10763.pgn,0.0
763,10764.pgn,0.0
764,10765.pgn,-1.0
765,10766.pgn,0.0
766,10767.pgn,1.0
767,10768.pgn,0.0
768,10769.pgn,0.0
769,10770.pgn,1.0
770,10771.pgn,0.0
771,10772.pgn,0.0
772,10773.pgn,0.0
773,10774.pgn,1.0
774,10775.pgn,1.0
775,10776.pgn,-1.0
776,10777.pgn,1.0
777,10778.pgn,0.0
778,10779.pgn,1.0
779,10780.pgn,0.0
780,10781.pgn,1.0
781,10782.pgn,0.0
782,10783.pgn,0.0
783,10784.pgn,1.0
784,10785.pgn,0.0
785,10786.pgn,1.0
786,10787.pgn,1.0
787,10788.pgn,0.0
788,10789.pgn,0.0
789,10790.pgn,1.0
790,10791.pgn,0.0
791,10792.pgn,0.0
792,10793.pgn,0.0
793,10794.pgn,0.0
794,10795.pgn,0.0
795,10796.pgn,0.0
796,10797.pgn,1.0
797,10798.pgn,-1.0
798,10799.pgn,-1.0
799,10800.pgn,-1.0
800,10801.pgn,1.0
801,10802.pgn,-1.0
802,10803.pgn,0.0
803,10804.pgn,-1.0
804,10805.pgn,0.0
805,10806.pgn,1.0
806,10807.pgn,1.0
807,10808.pgn,-1.0
808,10809.pgn,1.0
809,10810.pgn,1.0
810,10811.pgn,0.0
811,10812.pgn,1.0
812,10813.pgn,0.0
813,10814.pgn,0.0
814,10815.pgn,0.0
815,10816.pgn,0.0
816,10817.pgn,0.0
817,10818.pgn,0.0
818,10819.pgn,0.0
819,10820.pgn,0.0
820,10821.pgn,0.0
821,10822.pgn,0.0
822,10823.pgn,0.0
823,10824.pgn,0.0
824,10825.pgn,0.0
825,10826.pgn,0.0
826,10827.pgn,0.0
827,10828.pgn,0.0
828,10829.pgn,0.0
829,10830.pgn,1.0
830,10831.pgn,-1.0
831,10832.pgn,1.0
832,10833.pgn,0.0
833,10834.pgn,-1.0
834,10835.pgn,0.0
835,10836.pgn,0.0
836,10837.pgn,0.0
837,10838.pgn,0.0
838,10839.pgn,0.0
839,10840.pgn,0.0
840,10841.pgn,0.0
841,10842.pgn,0.0
842,10843.pgn,0.0
843,10844.pgn,0.0
844,10845.pgn,0.0
845,10846.pgn,0.0
846,10847.pgn,0.0
847,10848.pgn,0.0
848,10849.pgn,0.0
849,10850.pgn,0.0
850,10851.pgn,1.0
851,10852.pgn,0.0
852,10853.pgn,0.0
853,10854.pgn,-1.0
854,10855.pgn,1.0
855,10856.pgn,-1.0
856,10857.pgn,0.0
857,10858.pgn,0.0
858,10859.pgn,0.0
859,10860.pgn,0.0
860,10861.pgn,0.0
861,10862.pgn,-1.0
862,10863.pgn,1.0
863,10864.pgn,0.0
864,10865.pgn,0.0
865,10866.pgn,0.0
866,10867.pgn,0.0
867,10868.pgn,0.0
868,10869.pgn,0.0
869,10870.pgn,0.0
870,10871.pgn,0.0
871,10872.pgn,1.0
872,10873.pgn,-1.0
873,10874.pgn,0.0
874,10875.pgn,0.0
875,10876.pgn,0.0
876,10877.pgn,0.0
877,10878.pgn,1.0
878,10879.pgn,0.0
879,10880.pgn,0.0
880,10881.pgn,1.0
881,10882.pgn,0.0
882,10883.pgn,0.0
883,10884.pgn,0.0
884,10885.pgn,0.0
885,10886.pgn,1.0
886,10887.pgn,1.0
887,10888.pgn,0.0
888,10889.pgn,0.0
889,10890.pgn,-1.0
890,10891.pgn,1.0
891,10892.pgn,0.0
892,10893.pgn,0.0
893,10894.pgn,-1.0
894,10895.pgn,0.0
895,10896.pgn,1.0
896,10897.pgn,0.0
897,10898.pgn,0.0
898,10899.pgn,0.0
899,10900.pgn,0.0
900,10901.pgn,-1.0
901,10902.pgn,-1.0
902,10903.pgn,0.0
903,10904.pgn,0.0
904,10905.pgn,0.0
905,10906.pgn,0.0
906,10907.pgn,0.0
907,10908.pgn,-1.0
908,10909.pgn,1.0
909,10910.pgn,1.0
910,10911.pgn,1.0
911,10912.pgn,-1.0
912,10913.pgn,0.0
913,10914.pgn,-1.0
914,10915.pgn,-1.0
915,10916.pgn,-1.0
916,10917.pgn,-1.0
917,10918.pgn,1.0
918,10919.pgn,-1.0
919,10920.pgn,0.0
920,10921.pgn,0.0
921,10922.pgn,0.0
922,10923.pgn,1.0
923,10924.pgn,0.0
924,10925.pgn,1.0
925,10926.pgn,0.0
926,10927.pgn,0.0
927,10928.pgn,1.0
928,10929.pgn,1.0
929,10930.pgn,0.0
930,10931.pgn,0.0
931,10932.pgn,0.0
932,10933.pgn,0.0
933,10934.pgn,0.0
934,10935.pgn,0.0
935,10936.pgn,0.0
936,10937.pgn,0.0
937,10938.pgn,0.0
938,10939.pgn,0.0
939,10940.pgn,0.0
940,10941.pgn,1.0
941,10942.pgn,1.0
942,10943.pgn,-1.0
943,10944.pgn,0.0
944,10945.pgn,0.0
945,10946.pgn,1.0
946,10947.pgn,1.0
947,10948.pgn,0.0
948,10949.pgn,-1.0
949,10950.pgn,1.0
950,10951.pgn,1.0
951,10952.pgn,1.0
952,10953.pgn,-1.0
953,10954.pgn,1.0
954,10955.pgn,1.0
955,10956.pgn,0.0
956,10957.pgn,1.0
957,10958.pgn,1.0
958,10959.pgn,0.0
959,10960.pgn,-1.0
960,10961.pgn,-1.0
961,10962.pgn,1.0
962,10963.pgn,1.0
963,10964.pgn,0.0
964,10965.pgn,-1.0
965,10966.pgn,0.0
966,10967.pgn,1.0
967,10968.pgn,0.0
968,10969.pgn,1.0
969,10970.pgn,0.0
970,10971.pgn,0.0
971,10972.pgn,1.0
972,10973.pgn,1.0
973,10974.pgn,-1.0
974,10975.pgn,-1.0
975,10976.pgn,1.0
976,10977.pgn,1.0
977,10978.pgn,-1.0
978,10979.pgn,-1.0
979,10980.pgn,1.0
980,10981.pgn,0.0
981,10982.pgn,0.0
982,10983.pgn,-1.0
983,10984.pgn,1.0
984,10985.pgn,-1.0
985,10986.pgn,0.0
986,10987.pgn,1.0
987,10988.pgn,1.0
988,10989.pgn,-1.0
989,10990.pgn,1.0
990,10991.pgn,-1.0
991,10992.pgn,-1.0
992,10993.pgn,1.0
993,10994.pgn,0.0
994,10995.pgn,0.0
995,10996.pgn,0.0
996,10997.pgn,-1.0
997,10998.pgn,1.0
998,10999.pgn,0.0
999,11000.pgn,-1.0
1000,11001.pgn,1.0
1001,11002.pgn,1.0
1002,11003.pgn,-1.0
1003,11004.pgn,-1.0
1004,11005.pgn,-1.0
1005,11006.pgn,1.0
1006,11007.pgn,1.0
1007,11008.pgn,1.0
1008,11009.pgn,1.0
1009,11010.pgn,1.0
1010,11011.pgn,1.0
1011,11012.pgn,1.0
1012,11013.pgn,0.0
1013,11014.pgn,0.0
1014,11015.pgn,0.0
1015,11016.pgn,-1.0
1016,11017.pgn,1.0
1017,11018.pgn,1.0
1018,11019.pgn,-1.0
1019,11020.pgn,0.0
1020,11021.pgn,1.0
1021,11022.pgn,1.0
1022,11023.pgn,0.0
1023,11024.pgn,1.0
1024,11025.pgn,1.0
1025,11026.pgn,1.0
1026,11027.pgn,0.0
1027,11028.pgn,1.0
1028,11029.pgn,1.0
1029,11030.pgn,0.0
1030,11031.pgn,1.0
1031,11032.pgn,1.0
1032,11033.pgn,-1.0
1033,11034.pgn,-1.0
1034,11035.pgn,-1.0
1035,11036.pgn,0.0
1036,11037.pgn,0.0
1037,11038.pgn,0.0
1038,11039.pgn,0.0
1039,11040.pgn,0.0
1040,11041.pgn,0.0
1041,11042.pgn,0.0
1042,11043.pgn,0.0
1043,11044.pgn,0.0
1044,11045.pgn,0.0
1045,11046.pgn,0.0
1046,11047.pgn,1.0
1047,11048.pgn,0.0
1048,11049.pgn,0.0
1049,11050.pgn,0.0
1050,11051.pgn,0.0
1051,11052.pgn,0.0
1052,11053.pgn,0.0
